Run Number,Std Dev (Position),Success Rate,Optimization Run,Model Name,Training Folder,Scale,HSV_V,Test_model,opt_success,acq_fn,sim_ready
run_465,32.517319,0.100000,33,yolo534.pt,Train410,0.0,1.0,yolo534.pt,'True',UCB,'True'
run_466,45.804370,0.000000,33,yolo535.pt,Train411,1.0,0.5238095238095237,yolo535.pt,'True',UCB,'True'
run_467,39.155421,0.000000,33,yolo536.pt,Train412,0.5238095238095237,0.0,yolo536.pt,'True',UCB,'True'
run_468,47.131115,0.000000,33,yolo537.pt,Train413,0.2857142857142857,1.0,yolo537.pt,'True',UCB,'True'
run_469,46.120840,0.000000,33,yolo538.pt,Train414,0.7142857142857142,1.0,yolo538.pt,'True',UCB,'True'
run_470,44.574899,0.000000,33,yolo539.pt,Train415,0.0,0.7619047619047619,yolo539.pt,'True',UCB,'True'
run_471,4.778186,0.900000,33,yolo540.pt,Train416,0.7142857142857142,0.7142857142857142,yolo540.pt,'True',UCB,'True'
run_472,47.956060,0.000000,33,yolo541.pt,Train417,0.7619047619047619,0.6666666666666666,yolo541.pt,'True',UCB,'True'
run_473,48.983719,0.000000,33,yolo542.pt,Train418,0.6190476190476191,0.7619047619047619,yolo542.pt,'True',UCB,'True'
run_474,40.982508,0.000000,33,yolo543.pt,Train419,0.8095238095238095,0.8095238095238095,yolo543.pt,'True',UCB,'True'
run_475,27.430042,0.000000,33,yolo544.pt,Train420,1.0,0.0,yolo544.pt,'True',UCB,'True'
run_476,33.873391,0.000000,33,yolo545.pt,Train421,0.0,0.0,yolo545.pt,'True',UCB,'True'
run_477,24.735200,0.100000,33,yolo546.pt,Train422,0.7142857142857142,0.3333333333333333,yolo546.pt,'True',UCB,'True'
run_478,35.367768,0.000000,33,yolo547.pt,Train423,0.6666666666666666,0.6190476190476191,yolo547.pt,'True',UCB,'True'
run_479,31.888357,0.000000,33,yolo548.pt,Train424,0.38095238095238093,0.23809523809523808,yolo548.pt,'True',UCB,'True'
run_480,22.611202,0.000000,33,yolo549.pt,Train425,0.0,0.3333333333333333,yolo549.pt,'True',UCB,'True'
run_481,52.346940,0.000000,33,yolo550.pt,Train426,1.0,0.2857142857142857,yolo550.pt,'True',UCB,'True'
run_482,37.124371,0.000000,33,yolo551.pt,Train427,0.047619047619047616,0.0,yolo551.pt,'True',UCB,'True'
run_483,27.029315,0.000000,33,yolo552.pt,Train428,0.09523809523809523,0.0,yolo552.pt,'True',UCB,'True'
run_484,24.853094,0.000000,33,yolo553.pt,Train429,0.14285714285714285,0.0,yolo553.pt,'True',UCB,'True'
run_485,42.135785,0.000000,33,yolo554.pt,Train430,0.19047619047619047,0.0,yolo554.pt,'True',UCB,'True'
run_486,25.169054,0.000000,33,yolo555.pt,Train431,0.23809523809523808,0.0,yolo555.pt,'True',UCB,'True'
run_487,31.130817,0.000000,33,yolo556.pt,Train432,0.2857142857142857,0.0,yolo556.pt,'True',UCB,'True'
run_488,25.490734,0.000000,33,yolo557.pt,Train433,0.3333333333333333,0.0,yolo557.pt,'True',UCB,'True'
run_489,12.543486,0.800000,35,yolo562.pt,Train439,0.1,0.5,yolo541.pt,N/A,N/A,'True'
run_490,0.230277,1.000000,35,yolo563.pt,Train440,0.1,0.1,yolo541.pt,'True',UCB,'True'
run_491,8.474613,0.900000,35,yolo564.pt,Train441,0.5,0.9,yolo541.pt,'True',UCB,'True'
run_492,6.521886,0.900000,35,yolo565.pt,Train442,0.9,0.1,yolo541.pt,'True',UCB,'True'
run_493,4.278462,0.800000,35,yolo566.pt,Train443,0.5,0.5,yolo541.pt,'True',UCB,'True'
run_494,5.392002,0.800000,35,yolo567.pt,Train444,0.23809523809523808,0.19047619047619047,yolo541.pt,'True',UCB,'True'
run_495,0.137813,1.000000,35,yolo568.pt,Train445,0.0,0.0,yolo541.pt,'True',UCB,'True'
